ID	NAME	BILLINGSTREET	BILLINGCITY	BILLINGSTATE	BILLINGPOSTALCODE	BILLINGCOUNTRY	Phone	Account Number
001f000000Z6Pn0AAF	LEGAL & GENERAL INVESTMENT MANAGEMENT (HOLDINGS) LTD	One Coleman St	London		EC2R 5AA	England		
0013000000IcuORAAZ	Merrill Lynch Canada	181 Bay St Suite 400	Toronto	ON	M5J 2V8	Canada		
001300000063ZKKAA2	SEI Investments	1 Freedom Valley Dr	Oaks	PA	19456-9989	United States		
001300000063ZJyAAM	Pershing LLC	1 Pershing Plz	Jersey City	NJ	07399-0002	United States		
0013000000Eq2nIAAR	Davenport & Company LLC	901 E Cary St FL 11	Richmond	VA	23219-3745	United States		
001300000063ZrhAAE	"Calamos Asset Management, Inc."	2020 Calamos CT Ofc	Naperville	IL	60563-3284	United States		
001300000063ZKVAA2	"Stifel Nicolaus & Company,Inc."	One Financial Plaza 501 North Broadway	Saint Louis	MO	63102-2110	United States		
001f000000Z6PqrAAF	Norges Bank	Bankplassen 2	Oslo		151	Norway		
001f000000Z6PpeAAF	UBS GLOBAL ASSET MANAGEMENT HOLDING LTD	Triton Ct	London		EC2A 1BR	England		
001300000063ZIPAA2	Davenport & Company LLC	901 E Cary St FL 11	Richmond	VA	23219-4037	United States		
001300000063Zx6AAE	Edward Jones Trust Company	12555 Manchester Rd	Saint Louis	MO	63131-3729	United States		
00130000015ZsirAAC	"Principal Financial Group, Inc."	711 High St	Des Moines	IA	50392-4820	United States		
001300000063ZaQAAU	Westwood Management	200 Crescent CT Ste 1200	Dallas	TX	75201-1807	United States		
0013000000CgD83AAF	Sumitomo Trust & Banking Co. U.S.A.	111 River St	Hoboken	NJ	07030-5773	United States		
0013000000EpzfvAAB	CANANDAIGUA NATIONAL CORPORATION	72 S Main St Dept ST-TRUST	Canandaigua	NY	14424-1905	United States		
0013000000Eq0amAAB	Manulife Financial	200 Bloor Street East North Tower 7th Floor	Toronto	ON	M4W 1E5	Canada		
001a000001Qq65nAAB	Lord Abbett	90 Hudson St	Jersey City	NJ	7302	United States		
0013000000Lgh9dAAB	Bank of New York Mellon	101 Barclay St Frnt A	New York	NY	10286	United States		
0013000000vMGPdAAO	W.H. Reaves & Co. Inc.	10 Exchange Pl FL 18	Jersey City	NJ	07302-3974	United States		
001f000000Z6PYSAA3	SunTrust Bank	303 Peachtree St Ne FL 30	Atlanta	GA	303083208	United States		
0013000000Eq2ulAAB	Cohen and Steers Capital Management Inc	280 Park Ave FL 10w	New York	NY	10017-1216	United States		
0013000000hv34RAAQ	Pershing Limited							
001f000000Z6PWiAAN	City National Corporation	555 S Flower St	Los Angeles	CA	900712300	United States		
001f000000Z6PkdAAF	"Westwood Holdings Group, Inc."	200 Crescent CT Ste 1200	Dallas	TX	752011855	United States		
0013000000Eq2faAAB	Delaware Investments	2005 Market St Ste 4100	Philadelphia	PA	19103-7094	United States		
001300000063ZRxAAM	W.H. Reaves & Company Inc	10 Exchange Pl FL 18	Jersey City	NJ	07302-4934	United States		
001300000063ZINAA2	D.A. Davidson & Co.	8 3rd St N	Great Falls	MT	59401-3155	United States		
0013000000K4mQPAAZ	The Bank of New York Mellon			NY	10005	United States		
0013000000Eq30PAAR	Norges Bank	Bankplassen 2	Oslo		2108	Norway		
0013000000GFycsAAD	UBS GLOBAL ASSET MANAGEMENT (UK) LTD	21 Lombard Street	London		EC3V 9AH	United Kingdom		
0013000000dCO4gAAG	AXA Investment Managers Paris - Paris	"Coeur Défense, Tour B La Defense 4 100 Esplanade du Général de Gaulle"	Paris		F-92932	France		
0013000000GFyegAAD	Nationwide	1 Nationwide Plz	Columbus	OH	43215-2226	United States		
0013000000vMHKIAA4	"TIAA-CREF Investment Management, LLC"	730 3rd Ave	New York	NY	10017-3213	United States		
001300000063ZKnAAM	"W.H. Reaves & Co., Inc."	10 Exchange Pl FL 18	Jersey City	NJ	07302-3974	United States		
0013000000GGLbcAAH	"UBS Securities, LLC"			NJ	8736	United States		
001300000063ZtWAAU	Thomas Weisel Partners LLC	1 Montgomery St Ste 3700	San Francisco	CA	94104-4505	United States		
0013000000EpzzUAAR	Eaton Vance Corp	255 State St Fl 7	Boston	MA	02109-2618	United States		
001f000000Z6PWoAAN	"Assetmark Holdings, Inc."	2300 Contra Costa Blvd	Pleasant Hill	CA	945233918	United States		
0013000000dCOCdAAO	UBS GLOBAL ASSET MANAGEMENT (UK) LTD	21 Lombard Street	London		EC3V 9AH	England		
001f000000Z6PpsAAF	NEWEDGE GROUP	52 AVENUE DES CHAMPS ELYSEES	PARIS		75008	France		
001300000063ZwvAAE	"SunTrust Banks, Inc."	303 Peachtree St Ne FL 30	Atlanta	GA	30308-3201	United States		
